COMMANDO;;;;;;;;;r;;;;
CONTENT MANAGEMENT SYSTEM;;;Jenis Konten;Kategori dalam Agset BUMN;Jenis Media Plan;Aktualisasi;Media;Jenis Konten;;;Creator;Review;Process
992;10 April 2025;Satukan Hati Perkuat Silaturahmi Bersama ASABRI untuk Negeri;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Halalbihalal merupakan momentum untuk menyatukan hati dan memperkuat silaturahim demi terciptanya kolaborasi dan berkontribusi bagi negeri.

Satukan tekad dan langkah dalam harmoni bersama ASABRI sebagai Sahabat Perjuangan Anda Sepanjang Masa.

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_halalbihalal-asabri-activity-7316039316932108289-eD5g?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
993;09 April 2025;Dirgahayu TNI Angkatan Udara;Hari Penting;;;Realisasi;LinkedIn;Infografis;"Dengan Semangat Swa Bhuana Paksa, TNI Angkatan Udara Siap Menjaga Kedaulatan Nasional Untuk Mewujudkan Indonesia Maju
DIRGAHAYU TNI ANGKATAN UDARA KE-79

ASABRI Sahabat Perjuangan Anda Sepanjang Masa

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sahabatperjuanganandasepanjangmasa-asabriuntukindonesia-activity-7315542442080890880-5z31?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
994;28 Maret 2025;??? MUDIK AMAN SAMPAI TUJUAN BERSAMA ASABRI! ???;Campaign Bersama BUMN;;;Realisasi;LinkedIn;Video;"??? MUDIK AMAN SAMPAI TUJUAN BERSAMA ASABRI! ???

Halo #SobatASABRI dan #InsanBUMN!

PT ASABRI (Persero) kembali berpartisipasi dalam Program Mudik Gratis Bersama BUMN dengan mengusung tema ""Mudik Aman Sampai Tujuan"".

Sebagai bagian dari BUMN, ASABRI berkomitmen untuk mendukung tradisi mudik dengan memberikan perjalanan yang aman dan nyaman bagi masyarakat serta Peserta ASABRI.

#MudikAmanSampaiTujuan
#TJSLASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia
";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-insanbumn-mudikamansampaitujuan-activity-7315312632394043392--mtF?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
995;25 April 2025;Halalbihalal Hari Raya Idulfitri 1446H PT ASABRI (Persero);Hari Besar Nasional;;;Realisasi;LinkedIn;Video;"Halo #SobatASABRI

Pagi cerah burung pun bernyanyi,
Mentari hangat sinari pagi.
Halalbihalal satukan hati,
Rajut silaturahim penuh arti.

Menanam padi di pagi hari,
Berharap nanti panen berseri.
Semangat berkarya kembali #SobatASABRI,
Demi kemajuan ibu pertiwi.

#HalalbihalalASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia
";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-sobatasabri-halalbihalalasabri-activity-7315309199901540353-IKFG?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
996;08 April 2025;Informasi Layanan Kantor Cabang Telah Beroperasi Kembali;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Lampu dinyalakan saat senja,
Terang menerangi ruang kerja.
Setelah Lebaran mari berkarya,
Untuk bangsa, untuk Indonesia.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#LayananCabangASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-layanancabangasabri-sahabatperjuanganandasepanjangmasa-activity-7315305741924409345-oHoO?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
997;30 Maret 2025;Selamat Hari Raya Idulfitri;Hari Besar Nasional;;;Realisasi;LinkedIn;Video;"Halo #SobatASABRI
 
Dewan Komisaris, Direksi, dan seluruh Insan ASABRI mengucapkan
 
Selamat Hari Raya Idulfitri 1 Syawal 1446 Hijriah Minal 'Aidin wal-Faizin, Mohon Maaf Lahir dan Batin.
 
Tak ada yang lebih indah dari saling memaafkan. 
Semoga Hari Raya Idulfitri ini membawa kedamaian dan kebahagiaan untuk kita 
semua.
 
ASABRI 
Sahabat Perjuangan Anda Sepanjang Masa
 
#Lebaran1446H 
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-lebaran1446h-sahabatperjuanganandasepanjangmasa-activity-7313257246476378117-VPv8?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
998;31 Maret 2025;Ucapan Selamat Hari Raya Idulfitri;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Suara bedug nyaring menggema, berpadu dengan lantunan takbir yang memenuhi langit, menggetarkan hati dalam syukur dan haru. 

Di hari yang fitri ini, kita tinggalkan segala khilaf, membuka lembaran baru dengan hati yang tulus dan penuh cahaya. Senyum dan kebahagiaan menyatu dalam kebersamaan, mengingatkan bahwa makna Lebaran bukan hanya tentang perayaan, tetapi juga tentang saling memaafkan, menguatkan, dan merajut kembali tali persaudaraan dengan kasih yang tak terhingga.

 
#Lebaran1446H 
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-lebaran1446h-sahabatperjuanganandasepanjangmasa-activity-7312299991249629185-Q0cZ?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
999;30 Maret 2025;Ucapan Selamat Hari Raya Idulfitri;Campaign ASABRI;;;Realisasi;LinkedIn;Video;"Halo #SobatASABRI
 
Idul Fitri bukan hanya tentang kemenangan, tetapi juga tentang kebersamaan dan 
saling memaafkan.

Mari rayakan momen hangat Hari Raya Idulfitri bersama keluarga dan orang terkasih.

Selamat Hari Raya Idulfitri 1 Syawal 1446 Hijriah
Minal 'Aidin wal-Faizin, Mohon Maaf Lahir dan Batin.
 
#Lebaran1446H 
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia
";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-lebaran1446h-sahabatperjuanganandasepanjangmasa-activity-7312087426020122624-VQv4?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1000;29 Maret 2025;Selamat Hari Raya Nyepi 2025;Hari Besar Nasional;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI
 
Dalam keheningan, kita menemukan kedamaian. 
Dalam kesunyian, kita merenung dan memperbarui diri.
 
Dewan Komisaris, Direksi, dan seluruh Insan ASABRI mengucapkan 
Selamat Hari Raya Nyepi dan Tahun Baru Saka 1947.

Semoga momen suci ini 
membawa ketenangan, kebijaksanaan, dan harmoni bagi kita semua. 
 
ASABRI 
Sahabat Perjuangan Anda Sepanjang Masa
 
#HariNyepi 
#TahunBaruSaka1947 
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesi";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-harinyepi-tahunbarusaka1947-activity-7311496291505606657-iaCt?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1001;28 Maret 2025;Informasi untuk Sobat ASABRI;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI 

Untuk mendukung kelancaran pembayaran hak peserta ASABRI, terdapat layanan Mitra Kerja Pembayaran ASABRI (Bank dan Pos) yang tetap melayani pada masa libur nasional dan cuti Bersama Hari Raya Nyepi dan Idul Fitri 1446 Hijriah.

Untuk mengetahui informasi selengkapnya terkait dengan layanan Mitra Kerja Pembayaran ASABRI, Sobat dapat mengunjungi Website ASABRI melalui link atau scan barcode yang tertera pada infografis diatas ya #Sobat

ASABRI, 
Sahabat Perjuangan Anda Sepanjang Masa

#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIUntukIndonesia
#BUMNuntukIndonesia
Aktifkan untuk melihat gambar yang lebih besar,
";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-sobat-layananasabri-activity-7311086228232122370-s47d?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1002;28 Maret 2025;Pemberitahuan penutupan layanan operasi pada hari raya nyepi dan idulfitri;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Sehubungan dengan Hari Libur Nasional dan Cuti Bersama Hari Raya Nyepi dan Tahun Baru Saka 1947 serta Idul Fitri 1446 H, Layanan dan Operasional Kantor ASABRI TUTUP pada tanggal 28 Maret 2025 s.d. 7 April 2025.

Layanan dan Operasional Buka Kembali pada tanggal 8 April 2025.

#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-layananasabri-sahabatperjuanganandasepanjangmasa-activity-7311086131750518785-Ek5t?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1003;27 Maret 2025;Mudik Aman Sampai Tujuan Lebaran Tenang & Menyenangkan;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Jalan-Jalan Naik Delman
Sambil Liat Indahnya Pemandangan
Selamat Mudik ke Kampung Halaman
Lebaran Bersama Keluarga Tenang & Menyenangkan

Mudik Aman Sampai Tujuan
Lebaran Tenang dan Menyenangkan

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-sahabatperjuanganandasepanjangmasa-activity-7311010332716474369-iRX8?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1004;27 Maret 2025;Akun Resmi Contact Center;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Ada yang masih bingung kemana harus menghubungi ASABRI untuk mengurus keperluan ASABRI ?

#Sobat dapat menghubungi Akun Resmi Contact Center ASABRI seperti tertera pada infografis berikut ya #Sobat

Untuk informasi selengkapnya, silakan #SobatASABRI cek postingan berikut ya

#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-sobat-sobat-activity-7311009209947418624-MrDl?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1005;26 Maret 2025;Segera Lakukan Pemadanan NIK dan NPWP melalui CORETAX;Campaign Bersama BUMN;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Pemerintah telah menerbitkan PMK 136/2023 tentang perubahan atas PMK 112/2023 terkait implementasi pemadanan NIK-NPWP. Bagi yang belum melakukan pemadanan NIK sebagai NPWP, #SobatASABRI dapat melakukan pemadanan melalui Aplikasi Coretax.

Simak ketentuan terbaru Pemadanan NIK-NPWP sesuai infografis berikut ya #Sobat

#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-sobatasabri-sobat-activity-7310734470536392704-g03I?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1006;26 Maret 2025;ASABRI Tolak Gratifikasi;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

ASABRI senantiasa berkomitmen untuk menolak segala bentuk Gratifikasi.
Terima kasih untuk tidak memberi dan menerima Gratifikasi.

Jika menjumpai tindak gratifikasi jangan ragu untuk melaporkan melalui pengaduan@asabri.co.id

Bersama kita ciptakan lingkungan kerja yang bersih, transparan, dan beretika. 

ASABRI 
Sahabat Perjuangan Anda Sepanjang Masa 

#AntiGratifikasi
#ASABRITolakGratifikasi
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-antigratifikasi-asabritolakgratifikasi-activity-7310734282178666497-_QKR?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1007;24 Maret 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;LinkedIn;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Berbagi bukan tentang seberapa banyak yang kita berikan,
tapi seberapa tulus kita memberi. 
 
Yuk mari berbagi bersama kebaikan di bulan suci Ramadan ini. 

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-semangatsenin-semangatmelayanidariasabriuntukindonesia-activity-7309749884515954688-YOj-?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1008;22 Maret 2025;Sekilas: THR Lancar Ramadan & Lebaran Tenang & Menyenangkan;Berseri;;;Realisasi;LinkedIn;Video;"Halo #SobatASABRI

? THR Lancar, Ramadan & Lebaran Tenang & Menyenangkan! ?
?? Mulai 17 Maret 2025, ASABRI menyalurkan pembayaran THR kepada Peserta Pensiun, Penerima Pensiun, dan Penerima Tunjangan.

Tahukah sobat, bahwa Pembayaran THR ini sangat bermanfaat dan penting untuk dijaga kelancarannya.
Karena ini bukan sekadar pembayaran. Ini Amanah!
Karena ini bukan sekadar layanan. Ini Penghormatan!

Untuk informasi lebih lanjut mari simak video berikut dan #SobatASABRI juga dapat mengunjungi Website ASABRI www.asabri.co.id, Kanal Sosial Media ASABRI, Akun resmi contact center ASABRI, dan Kantor Cabang sesuai wilayah masing-masing ya Sobat..

@erickthohir
@arya.m.sinulingga
@kementerianbumn

#THRPesertaASABRI
#RamadanTenangMenyenangkan
#LebaranTenangMenyenangkan
#ManfaatProgramASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-sobatasabri-thrpesertaasabri-activity-7309747411181047808-GFMx?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1009;22 Maret 2025;Ucapan Ulang Tahun Direktur Utama PT ASABRI (Persero);Hari Penting;;;Realisasi;LinkedIn;Infografis;"Dewan Komisaris, Direksi dan Karyawan PT ASABRI (Persero) mengucapkan Selamat Ulang Tahun kepada Direktur Utama PT ASABRI (Persero) Jeffry Haryadi P. Manullang.

Semoga senantiasa diberikan kesehatan, kesuksesan, dan kebahagiaan.

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sahabatperjuanganandasepanjangmasa-asabriuntukindonesia-activity-7309045791401156608--RJ5?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1010;20 Maret 2025;Berseri: Pengajuan Klaim Melalui ASABRI Link;Berseri;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI 

Sekarang memasuki waktunya BERSERI nih... #BertanyaSeputarASABRI ?? 

Tahukah kamu Klaim apa saja yang Sobat dapat ajukan melalui ASABRI link? 

Yuk simak dan ketahui informasi yang tersedia sesuai infografis berikut ya… 

Untuk informasi lebih lanjut, Sobat dapat mengunjungi Website ASABRI www.asabri.co.id atau mengunjungi Kantor Cabang dan ASABRI Link sesuai wilayah masing-masing ya Sobat… 

#BertanyaSeputarASABRI 
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-bertanyaseputarasabri-bertanyaseputarasabri-activity-7308456459405508608-oSum?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1011;19 Maret 2025;ASABRI Berbagi: Cahaya Kebaikan di Bulan Ramadan;Campaign ASABRI;;;Realisasi;LinkedIn;Video;"Halo #SobatASABRI ???

Di bulan suci penuh rahmat ini, ASABRI kembali menebarkan kebaikan dengan memberikan santunan zakat kepada 60 anak penerima manfaat. Momen istimewa ini bertepatan dengan peringatan Nuzulul Qur'an yang mengingatkan kita akan pentingnya syukur, sabar, dan sedekah dalam kehidupan.

Direksi ASABRI berpesan, sebagai insan yang unggul, berintegritas, dan berdedikasi, mari kita menjadikan Al-Qur’an sebagai pedoman dalam setiap langkah kita. ???

Semoga keberkahan Ramadan ini semakin memperkuat rasa kepedulian dan semangat berbagi kita semua! ??

ASABRI, Sahabat Perjuangan Anda Sepanjang Masa.

#AksiASABRIdiBulanRamadan
#InsanASABRIBerbagidiBulanRamadan
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-aksiasabridibulanramadan-insanasabriberbagidibulanramadan-activity-7308083715753078784-OsJR?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1012;19 Maret 2025;ASABRI Menjaga & Melindungi Pejuang Negeri;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

PT ASABRI (Persero) hadir dengan komitmen untuk memberikan perlindungan terbaik bagi para pejuang bangsa yaitu Prajurit TNI, Anggota Polri, ASN Kemhan, dan ASN Polri, salah satunya melalui Layanan Perawatan dan Pengobatan Jaminan Kecelakaan Kerja Bagi Peserta ASABRI Aktif.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

Untuk informasi selengkapnya, silahkan #Sobat cek postingan berikut ya.

#JaminanKecelakaanKerja
#LayananPerawatandanPengobatan
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_perawatan-dan-pengobatan-untuk-peserta-asabri-activity-7307945390526369793-iOuG?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1013;18 Maret 2025;THR untuk Ramadan dan Lebaran yang tenang dan menyenangkan;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Pembayaran Tunjangan Hari Raya (THR) merupakan bagian dari upaya ASABRI dalam menciptakan Ramadan yang tenang dan menyenangkan bagi para penerima manfaat, sehingga Peserta ASABRI dapat merayakan Idulfitri dengan penuh kebahagiaan.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

Untuk informasi selengkapnya, silahkan #Sobat cek postingan berikut ya.

#THRuntukSobatASABRI2025
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_informasi-thr-asabri-activity-7307661894381711361-t6Q9?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1014;17 Maret 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Dengan Semangat Pengabdian, dan Penuh Dedikasi,
Insan ASABRI, Hadir Untuk Indonesia! 

ASABRI 
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-semangatsenin-semangatmelayanidariasabriuntukindonesia-activity-7307219828409278465-k4z_?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1015;14 Maret 2025;Pengumuman Tentang Pembayaran Tunjangan Hari Raya;Konten Lainnya;;;Realisasi;LinkedIn;Infografis;"Kabar Gembira untuk #SobatASABRI Semua

Pembayaran Tunjangan Hari Raya (THR) akan dilaksanakan mulai tanggal 17 Maret 2025. Semoga memberikan kebahagiaan bagi Peserta ASABRI dan Keluarga yang menerima.

Untuk megetahui ketentuan mengenai Pembayaran THR 2025, silakan sobat cek informasi pada postingan berikut ini.

Hati-hati dan tetap waspada terkait segala bentuk penipuan yang mengatasnamakan PT ASABRI (Persero). Jika menerima informasi yang meragukan dan mencurigakan, jangan ragu untuk hubungi contact center PT ASABRI (Persero).

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#THRuntukSobatASABRI2025
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-thruntuksobatasabri2025-sahabatperjuanganandasepanjangmasa-activity-7306160821212958720-j9ip?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1016;11 Maret 2025;ASABRI untuk Indonesia Bergerak, Bermakna, Berdampak, Memberikan Manfaat Tambahan untuk Peserta ;TJSL;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Pada tahun 2024, pelaksanaan Program TJSL ASABRI tidak hanya menjawab kebutuhan tetapi juga menjadi bagian investasi untuk masa depan yang lebih cerah dan memberikan kontribusi nyata pada Sustainable Development Goals (SDGs). 

Untuk informasi selengkapnya, silakan #Sobat cek postingan berikut ya.

#ProgramTJSLASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_tjsl-asabri-untuk-indonesia-activity-7305110444178911233-9KdL?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
1017;10 Maret 2025;Jalani Puasa Dari Sahur Menuju Iftar;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Jalani Puasa Dari Sahur Menuju Iftar
Ayo Sobat ASABRI Jangan Lupa Autentikasi Dengan ASABRI STAR

Untuk keamanan Gaji Pensiun, pastikan Sobat ASABRI telah melakukan Autentikasi digital di ASABRI STAR mulai tanggal 1 sampai dengan tanggal 10 setiap bulannya agar Gaji Pensiun dapat masuk ke rekening.

Apabila terdapat kendala atau membutuhkan informasi lebih lanjut, silakan Sobat ASABRI dapat mengunjungi Kantor Cabang ASABRI, Mitra Bayar ASABRI atau menghubungi Call Center 1500043 dan media sosial ASABRI.

#DenganASABRISTARGajiPensiunAman
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-denganasabristargajipensiunaman-activity-7304733085269471234-d7Wh?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
